,address,city,zip,State
3300,803 E PIKE ST ,seattle,98122.0,WA
3308,703 N 34TH ST ,seattle,98103.0,WA
3320,700 E PINE ST ,seattle,98122.0,WA
3333,2200 2ND AVE,seattle,98121.0,WA
3342,2801 E CHERRY ST ,seattle,98122.0,WA
3355,6501 ROOSEVELT WAY NE,seattle,98115.0,WA
3362,727 PINE ST ,seattle,98101.0,WA
3375,2518 BEACON AVE S ,seattle,98144.0,WA
3382,5701 15th AVE NW #A,seattle,98107.0,WA
3385,401 NE NORTHGATE WAY #VC-3,seattle,98125.0,WA
3388,7419 GREENWOOD AVE N ,seattle,98103.0,WA
3399,1635 8TH AVE,seattle,98101.0,WA
3405,1225 4TH AVE ,seattle,98101.0,WA
3417,3701 NE 45TH ST ,seattle,98105.0,WA
3430,9820 AURORA AVE N ,seattle,98103.0,WA
3441,164 S WASHINGTON ST ,seattle,98104.0,WA
3453,8550 GREENWOOD AVE N ,seattle,98103.0,WA
3460,2719 E MADISON ST ,seattle,98112.0,WA
3472,805 NE 65TH ST,seattle,98115.0,WA
3478,109 YESLER WAY ,seattle,98104.0,WA
3482,3510 FREMONT AVE N ,seattle,98103.0,WA
3489,2508 ALKI AVE SW ,seattle,98116.0,WA
3501,407 CEDAR ST,seattle,98121.0,WA
3509,4868 RAINIER AVE S ,seattle,98118.0,WA
3521,1525 10TH AVE,seattle,98122.0,WA
3531,1707 NW MARKET ST ,seattle,98107.0,WA
3545,317 W GALER ST ,seattle,98119.0,WA
3552,2114 N 45TH ST,seattle,98103.0,WA
3555,456 12TH AVE,seattle,98122.0,WA
3568,1100 PIKE ST ,seattle,98101.0,WA
3581,2201 4TH AVE S ,seattle,98134.0,WA
3593,235 SUMMIT AVE E,seattle,98102.0,WA
3595,2325 NW MARKET ST ,seattle,98107.0,WA
3607,1706 RAINIER AVE S ,seattle,98144.0,WA
3620,5425 RUSSELL AVE NW ,seattle,98107.0,WA
3633,507 15TH AVE E,seattle,98112.0,WA
3645,18220 INTERNATIONAL BL,sea tac,98188.0,WA
3655,2514 E CHERRY ST,seattle,98122.0,WA
3664,4510 CALIFORNIA AVE SW ,seattle,98116.0,WA
3677,6501 35TH AVE SW ,seattle,98126.0,WA
3691,4301 LEARY WAY NW ,seattle,98107.0,WA
3704,2421 1ST AVE,seattle,98121.0,WA
3714,1000 2ND AVE ,seattle,98104.0,WA
3725,614 MAYNARD AVE S ,seattle,98104.0,WA
3734,1913 N 45TH ST ,seattle,98103.0,WA
3735,9826 16TH AVE SW,seattle,98106.0,WA
3736,5506 22ND AVE NW ,seattle,98107.0,WA
3749,5210 ROOSEVELT WAY NE #B ,seattle,98105.0,WA
3759,707 S KING ST ,seattle,98104.0,WA
3770,3642 33RD AVE S C-6,seattle,98144.0,WA
3783,701 5TH AVE 211,seattle,98104.0,WA
3786,8539 15TH AVE NW ,seattle,98117.0,WA
3801,15252 AURORA AVE N ,shoreline,98133.0,WA
3813,323 NW 85TH ST,seattle,98117.0,WA
3825,2208 QUEEN ANNE AVE N ,seattle,98109.0,WA
3826,5603 4TH AVE S,seattle,98108.0,WA
3837,2401 UTAH AVE S,seattle,98134.0,WA
3848,2800 1ST AVE ,seattle,98121.0,WA
3851,2918 SW AVALON WAY ,seattle,98126.0,WA
3863,1401 3RD AVE ,seattle,98101.0,WA
3875,9029 25TH AVE SW,seattle,98126.0,WA
3886,209 2ND AVE S ,seattle,98104.0,WA
3898,1904 PIKE PL ,seattle,98101.0,WA
3907,823 3RD AVE #105,seattle,98104.0,WA
3911,1125 E OLIVE ST STE A,seattle,98122.0,WA
3924,8345 15TH AVE NW,seattle,98117.0,WA
3927,404 N 36TH ST,seattle,98103.0,WA
3937,5518 20TH AVE NW ,seattle,98107.0,WA
3950,2010 4TH AVE ,seattle,98121.0,WA
3962,2830 NW MARKET ST,seattle,98107.0,WA
3965,544 ELLIOTT AVE W ,seattle,98119.0,WA
3976,2232 QUEEN ANNE AVE N ,seattle,98109.0,WA
3978,4900 RAINIER AVE S ,seattle,98118.0,WA
3984,305 LENORA ST ,seattle,98121.0,WA
3997,2021 RAINIER AVE S ,seattle,98144.0,WA
4015,821 1ST AVE ,seattle,98104.0,WA
4026,14303 AURORA AVE N ,seattle,98133.0,WA
4040,103 1ST AVE S,seattle,98104.0,WA
4045,1815 N 45TH ST #103 ,seattle,98103.0,WA
4055,2043 EASTLAKE AVE E ,seattle,98102.0,WA
4068,1016 MADISON ST,seattle,98104.0,WA
4080,3301 4TH AVE S ,seattle,98134.0,WA
4094,9102 RAINIER AVE S,seattle,98118.0,WA
4097,1420 5TH AVE,seattle,98101.0,WA
4100,7845 LAKE CITY WAY NE ,seattle,98115.0,WA
4112,1520 7TH AVE,seattle,98101.0,WA
4115,210 BROADWAY E,seattle,98102.0,WA
4118,2231 32ND AVE W ,seattle,98199.0,WA
4130,8502 AURORA AVE N,seattle,98103.0,WA
4133,4135 UNIVERSITY WAY NE ,seattle,98105.0,WA
4139,107 Pike ST,seattle,98101.0,WA
4145,2366 EASTLAKE AVE E ,seattle,98102.0,WA
4153,105 W MERCER ST,seattle,98119.0,WA
4164,12336 31ST AVE NE,seattle,98125.0,WA
4177,524 15TH AVE E ,seattle,98112.0,WA
4179,4622 26TH AVE NE,seattle,98105.0,WA
4193,8600 14TH AVE S,seattle,98108.0,WA
4205,6411 LATONA AVE NE ,seattle,98115.0,WA
4217,709 N 35TH ST ,seattle,98103.0,WA
4218,4203 SW ADMIRAL WAY ,seattle,98116.0,WA
4224,301 2ND AVE EXT S,seattle,98104.0,WA
4229,1170 REPUBLICAN ST #B,seattle,98109.0,WA
4235,9627 15TH AVE SW,seattle,98106.0,WA
4247,8004 GREENWOOD AVE N ,seattle,98103.0,WA
4252,501 23RD AVE ,seattle,98122.0,WA
4265,808 POST AVE ,seattle,98104.0,WA
4277,925 4TH AVE #430,seattle,98104.0,WA
4279,2201 QUEEN ANNE AVE N,seattle,98109.0,WA
4284,1024 S BAILEY ST ,seattle,98108.0,WA
4296,3820 S FERDINAND ST ,seattle,98118.0,WA
4300,1510 NE 117TH ST STE B,seattle,98125.0,WA
4305,1140 NW MARKET ST ,seattle,98107.0,WA
4318,1226 S JACKSON ST ,seattle,98144.0,WA
4322,612 2ND AVE,seattle,98104.0,WA
4324,5509 UNIVERSITY WAY NE #C,seattle,98105.0,WA
4326,9828 15TH AVE SW STE B,seattle,98106.0,WA
4344,213 BROADWAY AVE E ,seattle,98102.0,WA
4352,4142 BROOKLYN AVE NE ,seattle,98105.0,WA
4356,10231 16TH AVE SW ,seattle,98146.0,WA
4369,4918 RAINIER AVE S ,seattle,98118.0,WA
4382,4305 1/2 UNIVERSITY WAY NE ,seattle,98105.0,WA
4384,94 COLUMBIA ST ,seattle,98104.0,WA
4395,4411 STONE WAY N ,seattle,98103.0,WA
4405,1429 1ST AVE ,seattle,98101.0,WA
4417,3416 W MCGRAW ST ,seattle,98199.0,WA
4438,6508 ROOSEVELT WAY NE,seattle,98115.0,WA
4449,2695 NE VILLAGE LN,seattle,98105.0,WA
4462,8516 GREENWOOD AVE N ,seattle,98103.0,WA
4468,4106 BROOKLYN AVE NE ,seattle,98105.0,WA
4480,10641 16TH AVE SW ,seattle,98146.0,WA
4492,1531 MELROSE AVE,seattle,98122.0,WA
4499,9614 14TH AVE SW,seattle,98106.0,WA
4503,107 1ST AVE S ,seattle,98104.0,WA
4516,95 PINE ST,seattle,98101.0,WA
