address,city,zip,tract
2408 1ST AVE,seattle,98121,80.01
7347 35TH AVE NE STE F,seattle,98115,38
401 WESTLAKE AVE N,seattle,98109,72
2505 1ST AVE,seattle,98121,80.01
309 S CLOVERDALE ST,seattle,98108,112
1325 6TH AVE,seattle,98101,82
94 PIKE ST,seattle,98101,81
8517 14TH AVE S,seattle,98108,264
714 TAYLOR AVE N,seattle,98109,67
1404 34TH AVE,seattle,98122,78
9743 HOLMAN RD NW,seattle,98117,14
332 15TH AVE E,seattle,98112,76
2200 S JACKSON ST,seattle,98144,90
2800 E MADISON ST,seattle,98112,77
927 HOWELL ST,seattle,98101,73
2214 2ND AVE,seattle,98121,80.01
13241 AURORA AVE N,seattle,98133,4.01
1200 5TH AVE,seattle,98101,82
8210 35TH AVE NE,seattle,98115,24
8003 SEAVIEW AVE NW,seattle,98117,32
3820 RAINIER AVE S,seattle,98118,101
1024 E Pike ST,seattle,98122,75
4235 E Madison ST,seattle,98112,63
428 WESTLAKE AVE N #101,seattle,98109,73
213 MARION ST,seattle,98104,81
2620 ALKI AVE SW,seattle,98116,97.01
7210 WOODLAWN AVE NE,seattle,98115,36
